Title,Author,Genre,SubGenre,Publisher,features,Image
Phantom of Manhattan,"Forsyth, Frederick",fiction,classic,other,"Phantom of Manhattan, The, Forsyth, Frederick, fiction, classic, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312056743i/109513.jpg
Ashenden of The British Agent,"Maugham, William S",fiction,classic,Vintage,"Ashenden of The British Agent, Maugham, William S, fiction, classic, Vintage",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348005233i/12593185.jpg
Zen & The Art of Motorcycle Maintenance,"Pirsig, Robert",philosophy,autobiography,Vintage,"Zen & The Art of Motorcycle Maintenance, Pirsig, Robert, philosophy, autobiography, Vintage",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1410136019i/629.jpg
Great War for Civilization,"Fisk, Robert",nonfiction,history,HarperCollins,"Great War for Civilization, The, Fisk, Robert, nonfiction, history, HarperCollins",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333581859i/854885.jpg
We the Living,"Rand, Ayn",fiction,novel,Penguin,"We the Living, Rand, Ayn, fiction, novel, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1306188481i/668.jpg
Artist and the Mathematician,"Aczel, Amir",science,mathematics,HighStakes,"Artist and the Mathematician, The, Aczel, Amir, science, mathematics, HighStakes",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328857645i/208933.jpg
History of Western Philosophy,"Russell, Bertrand",philosophy,philosophy,Routledge,"History of Western Philosophy, Russell, Bertrand, philosophy, philosophy, Routledge",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344399003i/243685.jpg
Selected Short Stories,other,fiction,classic,Jaico,"Selected Short Stories, other, fiction, classic, Jaico",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328048746i/878136.jpg
Rationality & Freedom,"Sen, Amartya",science,economics,Springer,"Rationality & Freedom, Sen, Amartya, science, economics, Springer",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347664546i/7776209.jpg
Clash of Civilizations and Remaking of the World Order,"Huntington, Samuel",nonfiction,history,Simon&Schuster,"Clash of Civilizations and Remaking of the World Order, Huntington, Samuel, nonfiction, history, Simon&Schuster",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1338424958i/413179.jpg
Uncommon Wisdom,"Capra, Fritjof",nonfiction,anthology,Fontana,"Uncommon Wisdom, Capra, Fritjof, nonfiction, anthology, Fontana",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1601631755i/524326.jpg
One,"Bach, Richard",nonfiction,autobiography,Dell,"One, Bach, Richard, nonfiction, autobiography, Dell",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474154022i/3.jpg
Karl Marx Biography,other,nonfiction,autobiography,other,"Karl Marx Biography, other, nonfiction, autobiography, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1319096117i/85947.jpg
To Sir With Love,Braithwaite,fiction,classic,Penguin,"To Sir With Love, Braithwaite, fiction, classic, Penguin",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1274211519i/110386.jpg
Half A Life,"Naipaul, V S",fiction,novel,other,"Half A Life, Naipaul, V S, fiction, novel, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1304480761i/8114546.jpg
Discovery of India,"Nehru, Jawaharlal",nonfiction,history,other,"Discovery of India, The, Nehru, Jawaharlal, nonfiction, history, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358746649i/154126.jpg
Apulki,"Deshpande, P L",nonfiction,misc,other,"Apulki, Deshpande, P L, nonfiction, misc, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327654203i/80081.jpg
Unpopular Essays,"Russell, Bertrand",philosophy,philosophy,other,"Unpopular Essays, Russell, Bertrand, philosophy, philosophy, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356454613i/182354.jpg
Deceiver,"Forsyth, Frederick",fiction,novel,other,"Deceiver, The, Forsyth, Frederick, fiction, novel, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320530790i/7783191.jpg
Veil: Secret Wars of the CIA,"Woodward, Bob",nonfiction,history,other,"Veil: Secret Wars of the CIA, Woodward, Bob, nonfiction, history, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348094968i/27514.jpg
Char Shabda,"Deshpande, P L",nonfiction,misc,other,"Char Shabda, Deshpande, P L, nonfiction, misc, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1633511450i/59211574.jpg
Rosy is My Relative,"Durrell, Gerald",fiction,novel,other,"Rosy is My Relative, Durrell, Gerald, fiction, novel, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1365683009i/111789.jpg
Moon and Sixpence,"Maugham, William S",fiction,classic,other,"Moon and Sixpence, The, Maugham, William S, fiction, classic, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348314865i/44796.jpg
Political Philosophers,other,philosophy,politics,other,"Political Philosophers, other, philosophy, politics, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348195633i/2050188.jpg
Short History of the World,"Wells, H G",nonfiction,history,other,"Short History of the World, A, Wells, H G, nonfiction, history, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311647938i/718477.jpg
Trembling of a Leaf,"Maugham, William S",fiction,novel,other,"Trembling of a Leaf, The, Maugham, William S, fiction, novel, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348478256i/90309.jpg
Doctor on the Brain,"Gordon, Richard",fiction,novel,other,"Doctor on the Brain, Gordon, Richard, fiction, novel, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1188659736i/1810382.jpg
Simpsons & Their Mathematical Secrets,"Singh, Simon",science,mathematics,other,"Simpsons & Their Mathematical Secrets, Singh, Simon, science, mathematics, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575562439i/41571753.jpg
Pattern Classification,"Duda, Hart",tech,data science,other,"Pattern Classification, Duda, Hart, tech, data science, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348571978i/85020.jpg
From Beirut to Jerusalem,"Friedman, Thomas",nonfiction,history,other,"From Beirut to Jerusalem, Friedman, Thomas, nonfiction, history, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328295618i/3559.jpg
Code Book,"Singh, Simon",science,mathematics,other,"Code Book, The, Singh, Simon, science, mathematics, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403181687i/17994.jpg
Age of the Warrior,"Fisk, Robert",nonfiction,history,other,"Age of the Warrior, The, Fisk, Robert, nonfiction, history, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1331526720i/2885565.jpg
Final Crisis,other,fiction,comic,other,"Final Crisis, other, fiction, comic, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391572613i/5173602.jpg
Killing Joke,other,fiction,comic,other,"Killing Joke, The, other, fiction, comic, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1346331835i/96358.jpg
Flashpoint,other,fiction,comic,other,"Flashpoint, other, fiction, comic, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507329660i/11501608.jpg
Batman Earth One,other,fiction,comic,other,"Batman Earth One, other, fiction, comic, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344369854i/12791521.jpg
Crisis on Infinite Earths,other,fiction,comic,other,"Crisis on Infinite Earths, other, fiction, comic, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327906696i/194479.jpg
Numbers Behind Numbers,"Devlin, Keith",science,mathematics,other,"Numbers Behind Numbers, The, Devlin, Keith, science, mathematics, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555675619i/45173712.jpg
Superman Earth One - 1,other,fiction,comic,other,"Superman Earth One - 1, other, fiction, comic, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320538241i/7657484.jpg
Superman Earth One - 2,other,fiction,comic,other,"Superman Earth One - 2, other, fiction, comic, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333579936i/13532176.jpg
Justice League: Throne of Atlantis,other,fiction,comic,other,"Justice League: Throne of Atlantis, other, fiction, comic, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379040592i/17671919.jpg
Justice League: The Villain's Journey,other,fiction,comic,other,"Justice League: The Villain's Journey, other, fiction, comic, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379039224i/15784201.jpg
Death of Superman,other,fiction,comic,other,"Death of Superman, The, other, fiction, comic, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383536130i/154795.jpg
History of the DC Universe,other,fiction,comic,other,"History of the DC Universe, other, fiction, comic, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327962400i/667258.jpg
Batman: The Long Halloween,other,fiction,comic,other,"Batman: The Long Halloween, other, fiction, comic, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1350137101i/106069.jpg
Life in Letters,"Steinbeck, John",nonfiction,autobiography,other,"Life in Letters, A, Steinbeck, John, nonfiction, autobiography, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566994726i/20613480.jpg
Information,"Gleick, James",science,mathematics,other,"Information, The, Gleick, James, science, mathematics, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382943888i/18693669.jpg
Journal of Economics,other,science,economics,other,"Journal of Economics, vol 106 No 3, other, science, economics, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1504076729i/36149235.jpg
Elements of Information Theory,"Thomas, Joy",tech,signal processing,other,"Elements of Information Theory, Thomas, Joy, tech, signal processing, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388256379i/433439.jpg
Power Electronics - Rashid,"Rashid, Muhammad",tech,computer science,other,"Power Electronics - Rashid, Rashid, Muhammad, tech, computer science, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387702301i/1607146.jpg
Neural Networks,"Haykin, Simon",tech,data science,other,"Neural Networks, Haykin, Simon, tech, data science, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481675986i/24582662.jpg
Grapes of Wrath,"Steinbeck, John",fiction,classic,other,"Grapes of Wrath, The, Steinbeck, John, fiction, classic, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375670575i/18114322.jpg
Vyakti ani Valli,"Deshpande, P L",nonfiction,misc,other,"Vyakti ani Valli, Deshpande, P L, nonfiction, misc, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1547994252i/43623339.jpg
Statistical Learning Theory,"Vapnik, Vladimir",tech,data science,other,"Statistical Learning Theory, Vapnik, Vladimir, tech, data science, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348746730i/2631404.jpg
Mossad,"Baz-Zohar, Michael",nonfiction,history,other,"Mossad, Baz-Zohar, Michael, nonfiction, history, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347981678i/13623874.jpg
Jim Corbett Omnibus,"Corbett, Jim",nonfiction,history,other,"Jim Corbett Omnibus, Corbett, Jim, nonfiction, history, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367860028i/475249.jpg
20000 Leagues Under the Sea,"Verne, Jules",fiction,novel,other,"20000 Leagues Under the Sea, Verne, Jules, fiction, novel, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356462970i/15762322.jpg
Batatyachi Chal,Deshpande P L,fiction,novel,other,"Batatyachi Chal, Deshpande P L, fiction, novel, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1505052599i/36216161.jpg
Pointers in C,"Kanetkar, Yashwant",tech,computer science,other,"Pointers in C, Kanetkar, Yashwant, tech, computer science, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348023062i/2522686.jpg
Cathedral and the Bazaar,"Raymond, Eric",tech,computer science,other,"Cathedral and the Bazaar, The, Raymond, Eric, tech, computer science, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328835964i/134825.jpg
Think Complexity,"Downey, Allen",tech,data science,other,"Think Complexity, Downey, Allen, tech, data science, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344689688i/13234078.jpg
